position,rank,name,lastName,uri,imageUri,age,gender,country,title,category,organization,government
41,40,Ban Ki-moon,Ki-moon,ban-ki-moon,ban-ki-moon,71,,Switzerland,"Secretary-General, United Nations",Philanthropy/NGO,United Nations ,false
42,41,Shinzo Abe,Abe,shinzo-abe,shinzo-abe,61,,Japan,"Prime Minister, Japan",Politics,Japan,true
43,42,Ding Xuedong,Ding,ding-xuedong,ding-xuedong,55,M,China,"Chairman, China Investment Corp, China",Economy,China,true
44,43,Park Geun-hye,Park,park-geun-hye,park-geun-hye,63,F,South Korea,"President, South Korea",Politics,South Korea,true
45,44,Michael Bloomberg,Bloomberg,michael-bloomberg,michael-bloomberg,73,M,United States,"CEO, Bloomberg",Media,Bloomberg,false
46,45,Jim Yong Kim,Kim,jim-yong-kim,jim-yong-kim,55,,United States,"President, World Bank",Philanthropy/NGO,World Bank,false
47,46,Kim Jong-un,Kim,kim-jong-un,kim-jong-un,32,,North Korea,"Supreme Leader, North Korea",Politics,North Korea,true
48,47,Igor Sechin,Sechin,igor-sechin,igor-sechin,55,,Russia,"Chairman, Rosneft",Energy,Rosneft,false
49,48,Ma Huateng,Ma,ma-huateng,ma-huateng,44,M,China,,Technology,,
50,49,Abdel el-Sisi,el-Sisi,abdel-el-sisi,abdel-el-sisi,60,,Egypt,"President, Egypt",Politics,Egypt,true
51,50,Haruhiko Kuroda,Kuroda,haruhiko-kuroda,haruhiko-kuroda,71,M,,"Governor, Bank of Japan, Japan",Economy,Japan,true
52,51,Masayoshi Son,Son,masayoshi-son,masayoshi-son,58,M,Japan,"CEO, Softbank",Telecom,Softbank,false
53,52,Enrique Pena Nieto,Pena Nieto,enrique-pena-nieto,enrique-pena-nieto,49,,Mexico,"President, Mexico",Politics,Mexico,true
54,53,Ali Al-Naimi,Al-Naimi,ali-al-naimi,ali-al-naimi,80,M,Saudi Arabia,"Oil Minister, Saudi Arabia",Energy,Saudi Arabia,true
55,54,Alexey Miller,Miller,alexey-miller,alexey-miller,53,,Russia,"CEO, Gazprom",Oil,Gazprom,false
56,55,Lakshmi Mittal,Mittal,lakshmi-mittal,lakshmi-mittal,65,M,United Kingdom,"Chairman and CEO, ArcelorMittal (ADR)",Metals & Mining,ArcelorMittal (ADR),false
57,56,Robin Li,Li,robin-li,robin-li,46,M,China,"Founder and CEO, Baidu",Technology,Baidu,false
58,57,Abu Bakr al-Baghdadi,al-Baghdadi,abu-bakr-al-baghdadi,abu-bakr-al-baghdadi,44,,,"Self-proclaimed caliph, Islamic State in Iraq and Syria",,Islamic State in Iraq and Syria,false
59,58,Hillary Clinton,Clinton,hillary-clinton,hillary-clinton,68,F,United States,"Presidential candidate, United States",Politics,United States,true
60,59,Michael Dell,Dell,michael-dell,michael-dell,50,M,United States,"Chairman and CEO, Dell",Technology,Dell,false
61,60,John Roberts,Roberts,john-roberts,john-roberts,60,,United States,"Chief Justice, U.S. Supreme Court, United States",Politics,United States,true
62,61,Satya Nadella,Nadella,satya-nadella,satya-nadella,48,M,United States,"CEO, Microsoft",Technology,Microsoft,false
63,62,Stephen Schwarzman,Schwarzman,stephen-schwarzman,stephen-schwarzman,68,M,United States,"Chairman and CEO, Blackstone Group",Investments,Blackstone Group,false
64,63,Ginni Rometty,Rometty,ginni-rometty,ginni-rometty,58,F,United States,"CEO, IBM",Technology,IBM,false
65,64,Bill Clinton,Clinton,bill-clinton,bill-clinton,69,,United States,"Founder, Bill, Hillary &#38; Chelsea Clinton Foundation",Politics,"Bill, Hillary &#38; Chelsea Clinton Foundation",false
66,65,Mary Barra,Barra,mary-barra,mary-barra,53,F,United States,"CEO, General Motors",Automotive,General Motors,false
67,66,Bernard Arnault,Arnault,bernard-arnault,bernard-arnault,66,M,France,"Chairman and CEO, LVMH Moet Hennessy Louis Vuitton",Fashion and Retail,LVMH Moet Hennessy Louis Vuitton,false
68,67,Alisher Usmanov,Usmanov,alisher-usmanov,alisher-usmanov,62,M,Russia,"Founder, Metalloinvest",Metals & Mining,Metalloinvest,false
69,68,Wang Jianlin,Wang,wang-jianlin,wang-jianlin,61,M,China,,Real Estate,,
70,69,Justin Trudeau,Trudeau,justin-trudeau,justin-trudeau,43,M,,,,,
71,70,Carl Icahn,Icahn,carl-icahn,carl-icahn,79,M,United States,"Founder, Icahn Capital Management",Investments,Icahn Capital Management,false
72,71,Aliko Dangote,Dangote,aliko-dangote,aliko-dangote,58,M,Nigeria,"CEO, Dangote Group",Manufacturing,Dangote Group,false
73,72,Donald Trump,Trump,donald-trump,donald-trump,69,M,United States,,Real Estate,,
74,73,Margaret Chan,Chan,margaret-chan,margaret-chan,68,F,Switzerland,"Director-General, World Health Organization",Philanthropy/NGO,World Health Organization,false
