position,rank,name,lastName,uri,imageUri,worth,age,source,industry,gender
104,104,Wu Liangding,Wu,wu-liangding,no-pic,1970,69,wheel production,Automotive,M
105,105,Fu Meicheng,Fu,fu-meicheng,fu-meicheng,1960,58,"TV shows, movies",Media,M
106,105,Xiao Wenge,Xiao,xiao-wenge,xiao-wenge,1960,48,entertainment,Media,M
107,107,Tianfu Lin,Lin,tianfu-lin,no-pic,1950,53,"footwear, apparel",Fashion and Retail,M
108,107,Lo Siu Yu,Lo,lo-siu-yu,no-pic,1950,45,conglomerate,Diversified,M
109,107,Zhang Guiping,Zhang,zhang-guiping,zhang-guiping,1950,64,real estate,Real Estate,M
110,110,Li Shuirong,Li,li-shuirong,li-shuirong,1940,59,petrochemicals,Manufacturing,M
111,110,Michael Tsang,Tsang,michael-tsang,no-pic,1940,44,telecommunications,Technology,M
112,112,Zhang Zhangsun,Zhang,zhang-zhangsun,zhang-zhangsun,1900,58,real estate,Real Estate,M
113,113,Sun Xishuang,Sun,sun-xishuang,sun-xishuang,1870,62,real estate,Real Estate,M
114,114,Chen Jinxia,Chen,chen-jinxia,no-pic-female,1860,47,investments,Investments,F
115,114,Fang Wei,Fang,fang-wei,no-pic,1860,42,steel,Manufacturing,M
116,116,Hu Kaijun,Hu,hu-kaijun,no-pic,1850,53,pharmaceuticals,Healthcare,M
117,117,Tian Ming,Tian,tian-ming,no-pic,1840,61,measuring instruments,Technology,M
118,118,Liang Yunchao,Liang,liang-yunchao,liang-yunchao,1830,46,nutrition supplements,Food and Beverage,M
119,118,Zhang Desheng,Zhang,zhang-desheng,no-pic,1830,65,manufacturing,,M
120,118,Zhu Xingliang,Zhu,zhu-xingliang,zhu-xingliang,1830,56,construction,Construction & Engineering,M
121,121,Feng Hailiang,Feng,feng-hailiang,feng-hailiang,1800,55,"copper processing, real estate",Metals & Mining,M
122,121,Nan Cunhui,Nan,nan-cunhui,nan-cunhui,1800,52,electrical power equipment,Manufacturing,M
123,121,Wang Zhenghua,Wang,wang-zhenghua,wang-zhenghua,1800,71,budget airline,Service,M
124,121,Zhou Xiaoguang,Zhou,zhou-xiaoguang,zhou-xiaoguang,1800,53,real estate,,F
125,125,Fang Tonghua,Fang,fang-tonghua,no-pic,1790,52,pharmaceuticals,,M
126,126,Huang Hongyun,Huang,huang-hongyun,huang-hongyun,1770,49,real estate,Real Estate,M
127,127,Ding Shizhong,Ding,ding-shizhong,ding-shizhong,1750,44,sports apparel,Fashion and Retail,M
128,128,Ding Shijia,Ding,ding-shijia,no-pic,1740,51,sportswear,Fashion and Retail,M
129,128,Jiang Rensheng,Jiang,jiang-rensheng,jiang-rensheng,1740,62,vaccine production,Healthcare,M
130,128,Ma Xiuhui,Ma,ma-xiuhui,ma-xiuhui,1740,44,LED lighting,Manufacturing,F
131,131,Huang Li,Huang,huang-li-1,huang-li-1,1730,52,infrared imaging systems,Technology,M
132,131,Wang Laichun,Wang,wang-laichun,no-pic-female,1730,48,electronics components,Technology,F
133,131,Wang Laisheng,Wang,wang-laisheng,no-pic,1730,50,electronics components,Technology,M
134,134,Chu Lam Yiu,Chu,chu-lam-yiu,chu-lam-yiu,1720,45,flavorings,Manufacturing,F
135,135,Ni Zugen,Ni,ni-zugen,no-pic,1710,58,appliances,Manufacturing,M
136,135,Zhu Baoguo,Zhu,zhu-baoguo,zhu-baoguo,1710,53,pharmaceuticals,Healthcare,M
137,137,Huo Qinghua,Huo,huo-qinghua,no-pic,1700,54,coal,Energy,M
138,137,Li Liufa,Li,li-liufa,li-liufa,1700,58,"steel, diversified",Diversified,M
139,137,Li Wa,Li,li-wa,li-wa,1700,49,real estate,,M
140,137,Que Wenbin,Que,que-wenbin,no-pic,1700,52,pharmaceuticals,Medicine,M
141,137,Shao Genhuo,Shao,shao-genhuo,shao-genhuo,1700,50,agribusiness,Food and Beverage,M
142,137,Wang Qingtao,Wang,wang-qingtao,no-pic,1700,53,steel smelting,Metals & Mining,M
143,137,Xu Jingren,Xu,xu-jingren,xu-jingren,1700,71,pharmaceuticals,Healthcare,M
144,137,Zhu Yicai,Zhu,zhu-yicai,zhu-yicai,1700,51,"meat products, retailing",Diversified,M
145,145,Lin Jianhua,Lin,lin-jianhua-1,no-pic,1690,53,solar panel components,Manufacturing,M
146,145,Wen Yibo,Wen,wen-yibo,wen-yibo,1690,50,wastewater treatment,Service,M
147,145,Xu Ziquan,Xu,xu-ziquan,no-pic,1690,57,software,Technology,M
148,148,Lin Li,Lin,lin-li,no-pic,1680,52,investments,Investments,M
149,149,Wang Jianfeng,Wang,wang-jianfeng,no-pic,1670,45,auto parts,Automotive,M
150,149,Wong Kwong Yu,Wong,wong-kwong-yu,wong-kwong-yu,1670,46,retail,Retail,M
151,149,Zhang Li,Zhang,zhang-li,zhang-li,1670,62,real estate,Real Estate,M
152,152,Huang Zhenda,Huang,huang-zhenda,huang-zhenda,1650,68,construction,Construction & Engineering,M
153,152,Shuai Fangwen,Shuai,shuai-fangwen,no-pic,1650,49,pharmaceuticals,Medicine,M
154,154,Huang Qisen,Huang,huang-qisen,huang-qisen,1640,50,real estate,Real Estate,M
155,154,Lam Kong,Lam,lam-kong,lam-kong,1640,51,pharmaceuticals,Healthcare,M
156,156,Zhang Changhong,Zhang,zhang-changhong,zhang-changhong,1620,57,finance information service,Finance,M
157,157,Jiang Zhaobai,Jiang,jiang-zhaobai,jiang-zhaobai,1610,52,real estate,Real Estate,M
158,157,Lei Jufang,Lei,lei-jufang,lei-jufang,1610,62,pharmaceuticals,Healthcare,F
159,159,King Pak Fu,King,king-pak-fu,king-pak-fu,1600,45,real estate,Real Estate,M
160,160,Yin Mingshan,Yin,yin-mingshan,yin-mingshan,1580,77,automobile,,M
161,161,Han Tao,Han,han-tao,no-pic,1570,55,electronics components,,M
162,161,Qi Jinxing,Qi,qi-jinxing,qi-jinxing,1570,53,real estate,Real Estate,M
163,161,Wu Gang,Wu,wu-gang,no-pic,1570,38,Investment,,M
164,164,Liang Guangwei,Liang,liang-guangwei,no-pic,1560,52,"batteries, mini motors",Manufacturing,M
165,164,Qiu Jianping,Qiu,qiu-jianping,qiu-jianping,1560,53,hand tools,Manufacturing,M
166,166,Ke Xiping,Ke,ke-xiping,ke-xiping,1550,55,investments,Diversified,M
167,166,Zan Shengda,Zan,zan-shengda,zan-shengda,1550,52,diversified,Diversified,M
168,168,Gu Wei,Gu,gu-wei,no-pic,1530,50,consumer electronics,Manufacturing,M
169,169,Che Fengsheng,Che,che-fengsheng,che-fengsheng,1520,52,pharmaceuticals,Healthcare,M
170,169,Geng Jianming,Geng,geng-jianming,geng-jianming,1520,53,real estate,Real Estate,M
171,171,Ruan Shuilong,Ruan,ruan-shuilong,no-pic,1510,79,chemicals,Manufacturing,M
172,172,Cheng Kin Ming,Cheng,cheng-kin-ming,cheng-kin-ming,1500,,solar power generation,Manufacturing,M
173,172,Huang Wen Tsai,Huang,huang-wen-tsai,huang-wen-tsai,1500,62,real estate,Real Estate,M
174,172,Miao Shouliang,Miao,miao-shouliang,miao-shouliang,1500,60,"real estate, diversified",Diversified,M
175,172,Shen Ya,Shen,shen-ya,no-pic,1500,44,online apparel retail,Technology,M
176,172,Xiu Laigui,Xiu,xiu-laigui,xiu-laigui,1500,61,pharmaceuticals,Healthcare,M
177,172,Jane Yan,Yan,jane-yan,jane-yan,1500,46,software,Technology,F
178,178,Cho Tak Wong,Cho,cho-tak-wong,cho-tak-wong,1490,69,auto parts,Manufacturing,M
179,179,Shao Zhongyi,Shao,shao-zhongyi,no-pic,1480,47,soybean trading,Food and Beverage,M
180,179,Zheng Xiaodong,Zheng,zheng-xiaodong,no-pic,1480,51,manufacturing,,M
181,181,Wang Junmin,Wang,wang-junmin,wang-junmin,1460,46,pharmaceuticals,Healthcare,M
182,181,Wu Jianshu,Wu,wu-jianshu,no-pic,1460,51,auto parts,,M
183,181,Wu Xushun,Wu,wu-xushun,no-pic,1460,67,auto parts,,M
184,184,Li Weiwei,Li,li-weiwei,no-pic,1450,38,online games,,M
185,184,Xiang Guangming,Xiang,xiang-guangming,no-pic,1450,52,"waste, environ svcs",,M
186,184,Yuan Yafei,Yuan,yuan-yafei,yuan-yafei,1450,51,"retailing, investments",Fashion and Retail,M
187,187,Ding Xinxin,Ding,ding-xinxin,ding-xinxin,1430,57,construction,Construction & Engineering,M
188,187,Zhu Gongshan,Zhu,zhu-gongshan,zhu-gongshan,1430,57,solar panel materials,Manufacturing,M
189,189,Ao Xiaoqiang,Ao,ao-xiaoqiang,no-pic,1420,51,electrical equipment manufacturing,,M
190,190,Chen Ningning,Chen,chen-ningning,chen-ningning,1410,44,minerals,Metals & Mining,F
191,190,Gao Tianguo,Gao,gao-tianguo,no-pic,1410,64,"real estate, finance",Real Estate,M
192,190,Han Xu & wife,Han,han-xu,no-pic,1410,50,distribution,,M
193,193,Fu Guangming,Fu,fu-guangming,fu-guangming,1400,62,poultry,Food and Beverage,M
194,193,Liu Baolin,Liu,liu-baolin,liu-baolin,1400,62,"pharmacies, drug distribution",Healthcare,M
195,195,Wong Hei,Wong,wong-hei,no-pic-female,1390,53,conglomerate,Diversified,F
196,195,Wu Yiling,Wu,wu-yiling,wu-yiling,1390,66,pharmaceuticals,Healthcare,M
197,197,Chen Baozhen,Chen,chen-baozhen,no-pic-female,1380,72,internet service provider,Technology,F
198,197,Huang Chulong,Huang,huang-chulong,huang-chulong,1380,,real estate,Real Estate,M
199,197,Liu Shaoxi,Liu,liu-shaoxi,liu-shaoxi,1380,51,real estate,Real Estate,M
200,200,Wang Chaobin,Wang,wang-chaobin,wang-chaobin,1370,59,real estate,Real Estate,M
201,200,Zhu Qingyi,Zhu,zhu-qingyi,no-pic,1370,46,real estate,,M
202,202,Fan Zhaoxia,Fan,fan-zhaoxia,no-pic-female,1360,48,photovoltaic equipment,Energy,F
203,202,Li Fuchao,Li,li-fuchao,no-pic,1360,57,auto parts,Automotive,M
204,202,Wei Shaojun,Wei,wei-shaojun,wei-shaojun,1360,52,real estate,Real Estate,M
205,202,Yuan Fugen,Yuan,yuan-fugen,no-pic,1360,65,metal processing,,M
206,206,Zhang Huang,Huang,zhang-huang,no-pic,1350,39,Meizu,,
207,206,Lin Bin,Lin,lin-bin,lin-bin,1350,47,smartphones,Technology,M
208,206,Liu Xuejing,Liu,liu-xuejing,liu-xuejing,1350,64,"copper, poultry",Diversified,M
209,206,Ye Cheng,Ye,ye-cheng,no-pic,1350,53,diversified,Diversified,M
210,206,Yu Rong,Yu,yu-rong,no-pic,1350,43,physical examination,,M
211,211,Huang Qiaoling,Huang,huang-qiaoling,huang-qiaoling,1340,57,tourism,,M
212,212,Cao Kejian,Cao,cao-kejian,cao-kejian,1320,53,air compressors,Manufacturing,M
213,212,Wen Jianping,Wen,wen-jianping,wen-jianping,1320,53,sewage treatment,Service,M
214,212,Yi Zheng,Yi,yi-zheng,no-pic,1320,45,software,Technology,M
215,212,Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,1320,60,"oil, banking",Diversified,M
216,216,Wang Han,Wang,wang-han,no-pic,1310,28,diversified,,M
217,216,Zhou Yaoting,Zhou,zhou-yaoting,no-pic,1310,72,conglomerate,Diversified,M
218,218,Ni Zhaoxing,Ni,ni-zhaoxing,ni-zhaoxing,1300,59,real estate,Real Estate,M
219,218,Sun Shoukuan,Sun,sun-shoukuan,sun-shoukuan,1300,66,chemicals,Manufacturing,M
220,218,Yu Awu,Yu,yu-awu,no-pic,1300,74,jewelry,Manufacturing,M
221,221,He Yamin,He,he-yamin,no-pic,1290,58,manufacturing,,M
222,221,Huang Bingwen,Huang,huang-bingwen,no-pic,1290,61,printing,Manufacturing,M
223,221,Zhang Zhirong,Zhang,zhang-zhirong,zhang-zhirong,1290,46,shipbuilding,Logistics,M
224,224,Lu Di,Lu,lu-di,no-pic,1280,,drones,Technology,M
225,224,Wang Junjin,Wang,wang-junjin,wang-junjin,1280,46,diversified,,M
226,224,Yu Peidi,Yu,yu-peidi,yu-peidi,1280,55,real estate,Real Estate,M
