position,rank,name,lastName,uri,imageUri,worth,age,source,industry,gender
293,292,Ruan Hongxian,Ruan,ruan-hongxian,ruan-hongxian,1070,49,pharmaceuticals,,M
294,292,Wang Linjiang,Wang,wang-linjiang,no-pic,1070,,investments,,M
295,292,Zhou Hongyi,Zhou,zhou-hongyi,zhou-hongyi,1070,45,security software,Technology,M
296,296,Cai Mingtong,Cai,cai-mingtong,no-pic,1060,63,electronic components,,M
297,296,Don Gao,Gao,don-gao,no-pic,1060,50,power tools,Manufacturing,M
298,296,Yao Xinyi,Yao,yao-xinyi,yao-xinyi,1060,51,diversified,Diversified,M
299,299,Hong Xiaobo,Hong,hong-xiaobo,no-pic,1050,43,e-commerce,Fashion and Retail,M
300,299,Qiao Luyu,Qiao,qiao-luyu,no-pic,1050,59,printing services,,M
301,299,Zhang Jun,Zhang,zhang-jun,no-pic,1050,52,"Insurance, real estate",,M
302,302,Chu Mang Yee,Chu,chu-mang-yee,chu-mang-yee,1040,55,real estate,Real Estate,M
303,302,Hua Xuande,Hua,hua-xuande,no-pic,1040,72,Pharmaceuticals,,M
304,302,Li San Yim,Li,li-san-yim,li-san-yim,1040,65,manufacturing,Manufacturing,M
305,302,Liu Changqing,Liu,liu-changqing,liu-changqing,1040,62,manufacturing,Manufacturing,M
306,302,Yao Zhenhua,Yao,yao-zhenhua,yao-zhenhua,1040,45,logistics & real estate,,M
307,302,Zhang Wanzhen,Zhang,zhang-wanzhen,no-pic,1040,65,chemicals,,M
308,302,Zhuang Min,Zhuang,zhuang-min,no-pic,1040,47,electronics,Technology,M
309,309,Chu Jinfu,Chu,chu-jinfu,no-pic,1030,58,electrical power equipment,Manufacturing,M
310,309,Liu Canglong,Liu,liu-canglong-1,liu-canglong-1,1030,60,conglomerate,Diversified,M
311,309,Wang Zhongjun,Wang,wang-zhongjun,wang-zhongjun,1030,55,film production,Media,M
312,309,Zhang Keqiang,Zhang,zhang-keqiang,zhang-keqiang,1030,55,real estate,Real Estate,M
313,309,Zou Bingde,Zou,zou-bingde,no-pic,1030,44,pharmaceutical,,M
314,314,Lv Yongxiang,Lv,lv-yongxiang,no-pic,1020,65,magnetic switchs,,M
315,314,Yin Xingman,Yin,yin-xingman,no-pic,1020,59,automotive starters & rotors,,M
316,314,Zhang Daocai,Zhang,zhang-daocai,no-pic,1020,65,manufacturing,,M
317,317,Lou Zhongfu,Lou,lou-zhongfu,lou-zhongfu,1010,61,real estate,Real Estate,M
318,317,Zhang Bangxin,Zhang,zhang-bangxin,no-pic,1010,35,education,,M
319,319,Chau Chak Wing,Chau,chau-chak-wing,chau-chak-wing,1000,61,real estate,Real Estate,M
320,319,Chen Yunqin,Chen,chen-yunqin,no-pic,1000,73,medical equipment,,M
321,319,Cheng Wei,Cheng,cheng-wei,cheng-wei,1000,,taxi app,,M
322,319,He Zhenggang,He,he-zhenggang,no-pic,1000,61,chemicals,,M
323,319,Jiang Jason Nanchun,Jiang,jiang-jason-nanchun,no-pic,1000,42,media,,M
324,319,Kang Baohua,Kang,kang-baohua,kang-baohua,1000,62,building materials & elevator,,M
325,319,Mo Tianquan,Mo,mo-tianquan,mo-tianquan,1000,51,real estate website,Technology,M
326,319,Ni Yongpei,Ni,ni-yongpei,ni-yongpei,1000,63,wine,,M
327,319,Neil Shen,Shen,neil-shen,neil-shen,1000,45,venture capital investing,Investments,M
328,319,Tu Guoshen,Tu,tu-guoshen,no-pic,1000,50,security & survellance,,M
329,319,Bruno Wu,Wu,bruno-wu,bruno-wu,1000,49,entertainment,,M
330,319,Xiao Fen,Xiao,xiao-fen,no-pic,1000,53,consumer electronics,Manufacturing,M
331,319,Yao Xinquan,Yao,yao-xinquan,no-pic,1000,48,diversified,Diversified,M
